head_cam_distance,gaze_distance,face_detection_confidence,engagement
2.939120832902034977e+02,1.297051079493796237e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.974857057362070236e+02,1.491232373399654989e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.979756095796578279e+02,1.275704674543555086e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.906087084430998857e+02,1.336065763429417075e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.758619918864216061e+02,1.413833949318146779e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.691497901459817399e+02,1.519526616371335876e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.694551717510136655e+02,1.517955138759890019e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.730441538049035444e+02,1.374064105068314632e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.747338209816360290e+02,1.454081084709976039e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.764077012194867393e+02,1.461185600776500451e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.808917931588891861e+02,1.197727395614868016e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.865274868806388895e+02,1.179319687236821608e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.876602542925228363e+02,1.638146618673985699e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.901749078504935255e+02,1.207021439155232372e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.041081946448514373e+02,9.117735166010106695e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.045073644293283905e+02,1.279304367465679206e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.039159708606269987e+02,1.354265460886600181e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.069429116997187066e+02,9.986952144150991728e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.346458637985733731e+02,1.081468618386928711e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.419240400611830637e+02,1.118657003143753599e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.545758200419558079e+02,1.264789305279473126e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.589516113951596026e+02,1.662228959573247096e+02,9.300000000000000488e-01,1.000000000000000000e+00
